544399唯一合格女   05 999999901    171129184319190032000100087    2 10000292010201011                                                                                                                                                                    00020102030303020197950805959502020503029504040406999501679502           099999999999039999999999999999999999999999                                        0201
544404唯一合格女   04 999999901    171204185529190534000106301086 1 30000012010201011                                                                                                                                                                    02010103030202030402020505020404020404040802030301019901660602           079999990899999999999999999999999999999999                                        0201
544432唯一合格女   04 999999901    171204185534190335000106202011 1 30000024010201011                                                                                                                                                                    00020203020202970202980406020403020405020101030307990802620402           079999990199999999999999999999999999999999                                        0201
544453唯一合格女    2 999999901    171205213747214539000106158006 2 30000032010201011                                                                                                                                                                    00020102030202030202030606020303020100039603030302029901650502           659999999999999999999999999999999903999999                                        0201
544487唯一合格男  042 999999901    171203194743200023000104506004 2 20000040010401011                                                                                                                                                                    11020103030302030402030403019602030107030402030301029901540502           669999999999999999999999999999999999119999                                        0101
544508唯一合格男  042 999999901    171203191855192839000104405206 2 10000152010301011                                                                                                                                                                    11029703030396020402041006020401040000029601040302029902580702           669999999999999999999999999999999999089999                                        0101
544522最年輕的男    2 999999901    171204184334185426000106301086 1 30000012011006101                                                                                                                                                                    11010103030302030201030505030302020505020203040306990301670402           659999999999999999999999999999999906999999                                        0101
544526最年長的男    2 999999901    171129185101190158000100109    2 30000036010502012                                                                                                                                                                    00020104030302029898040505040401010598049804010207990801470402           639999999999999999999999999999089999999999                                        0101
544566最年輕的男   07 999999901    171129185244190214000104405206 2 10000152010402041                                                                                                                                                                    00020101030202040302010605010201030606020102040321029901680602           649999999999999999999999999999992799999999                                        0101
544571最年輕的男   04 999999901    171205200732202751000105202009 2 10000152010804081                                                                                                                                                                    01029801020202030101040702040496010503020104040108990401580302           079999990299999999999999999999999999999999                                        0101
544580唯一合格男   04 999999901    171129185308190425000103303053 2 30000019010301011                                                                                                                                                                    00020104030303020302030606020202030000020504030402019901540302           079999991099999999999999999999999999999999                                        0101
544611最年輕的男   04 999999901    171129200417201355000105202027 2 10000112010402041                                                                                                                                                                    11020104030302030302020705020401030105030602040402029901500602           079999991499999999999999999999999999999999                                        0101
544632唯一合格男   03 999999901    171129185538190438000104254012 1 20000116010201011                                                                                                                                                                    12020102030202030402010005010101040005040101040407990802560503           689999999999999999999999999999999999999902                                        0101
544645唯一合格女    2 999999901    171203191730192924000100080    1 10000315010201012                                                                                                                                                                    13020102029802040402010506010198040008040401040307990302580603           639999999999999999999999999999119999999999                                        0201
544679唯一合格男   04 999999901    171129185708190715000100080    1 10000315010201011                                                                                                                                                                    01020103030202040202020404040401010505040102040207990801810502           079999991199999999999999999999999999999999                                        0101
544732唯一合格男    2 999999901    171204185826192353000106202013 2 30000024010201011                                                                                                                                                                    03020198029802040202989896989797979798029804979807990802310202           959999999999999999999999999999999999999999                                        0102
544801唯一合格男    8 999999901    171129190102190952000105202054 2 10000140010101011                                                                                                                                                                    00020203030303030202030406030301030406020102030307990801710602           679999999999999999999999999999999999993299                                        0101
544804唯一合格男   04 999999901    171203191559192639000104203045 2 30000024010101011                                                                                                                                                                    11010101020202020102030504030401030703030403010302029901470402           079999990199999999999999999999999999999999                                        0101
544815唯一合格男  042 999999901    171129190100190932000105202055 2 20000091010301011                                                                                                                                                                    13020103030303020202020506020401010505029604010302029901590402           669999999999999999999999999999999999129999                                        0101
544848唯一合格男    2 999999901    171203191525192314000105202054 2 10000140010201011                                                                                                                                                                    01020104030302040402040303010102040108040504040401029902640603           679999999999999999999999999999999999991299                                        0101
544874最年長的男   06 999999901    171205200714202107000106206053 2 30000024010603012                                                                                                                                                                    00029703030302970398980405030403030705020504030302019901420202           679999999999999999999999999999999999993399                                        0102
544888唯一合格男  042 999999901    171129190318191321000105202027 2 10000112010201011                                                                                                                                                                    11020102030302040402030303010403030007040102010401029901610702           669999999999999999999999999999999999289999                                        0101
544905最年輕的男    2 999999901    171203213052213955000106601069 2 30000004010502051                                                                                                                                                                    01020101039802040102040804010404010705019802040101019903850403           659999999999999999999999999999999914999999                                        0101
544919唯一合格男   05 999999901    171129190412193631000106206053 2 30000024010101011                                                                                                                                                                    13029803030303970102989896989802029598029803039806990898510401           209999999999999999999999999902999999999999                                        0101
544976唯一合格女   07 999999901    171204190328191358000103203003 2 10000164010100011                                                                                                                                                                    00020104030202030402010504960401010110020403040107990401620402           649999999999999999999999999999990299999999                                        0201
554043最年長的女   08 999999902    171129215023220256000100044    2 10001012010502012                                                                                                                                                                    00020101030302030202020506010104040005020198029807999595510402           139999999999999913999999999999999999999999                                        0201
554050唯一合格女   04 999999902    171203191336192438000105509218 2 30000036010201011                                                                                                                                                                    00029702030202980302020406020202980005030103029898990802590702           079999991099999999999999999999999999999999                                        0201
554057最年輕的男   04 999999902    171129190857193113000106252019 2 30000008010202021                                                                                                                                                                    00020197030302030102030505030202020004010103039707990801800602           079999990199999999999999999999999999999999                                        0101
554059唯一合格女   04 999999902    171129190902191833000103203025 2 10000381010302011                                                                                                                                                                    00020101030398020202030506010401011000040604040402029901480202           079999990399999999999999999999999999999999                                        0201
554061最年長的女    2 999999902    171129190903192017000106206003 1 30000012010501012                                                                                                                                                                    00020103030202040302020206010102020205040102030301029901490302           639999999999999999999999999999079999999999                                        0201
554084唯一合格男    2 999999902    171129190941192021000104405206 2 10000152010101011                                                                                                                                                                    12020204030302040202010006010202020010020101040401019902530402           179999999999999999999999029999999999999999                                        0101
