700280唯一合格女    2 999999902    08022319341719501000094507026  2 200216010201012                                                                                                                                                                      0002010206060203020305030203010102039501029101919104030302020302979699089602340602029069992060106999999999999999999999999999999999999999999990201
700283唯一合格男   07 999999902    08022319344519460800096252023  1 300062010201011                                                                                                                                                                      0502010506060103040105030204020501040201020202020201040303010301040799030502630602022149999991299999999999999999999990699999999999999999999990101
700284唯一合格男   03 999999902    08022321515922071600094601114  2 300093010402041                                                                                                                                                                      0102010606050203020304050203020102039598990202950203030302020302030699089702450501013019999990599999999069999999999999999999999999999999999990101
700285最年輕的男   03 999999902    08022319345319453200094206014  2 200040010402041                                                                                                                                                                      0002020305050304020204040203020502030101020201019595039595029502950202990102720602028019999990599999999069999999999999999999999999999999999990101
700301最年輕的男   03 999999902    08022319363019511100096252025  1 300070010402041                                                                                                                                                                      0002010606060102010408000102020501040201020202020201040104010304040101990501440301011049999990599999999099999999999999999999999999999999999990101
700315最年輕的男   05 999999902    08022319375019522000094601114  2 300093010202021                                                                                                                                                                      0002010505050103020408020204020101040201020202020201040304010401010799080702660602024019999990999999999999999990199999999999999999999999999990101
700329唯一合格男  049 999999902    08022319385219573900095206031  1 200168010201011                                                                                                                                                                      0402020205040404010103060102010503010101989501019504019598989802020202990101440702023029999990899999999999999019999999999999999999999999999990101
700331唯一合格女   03 999999902    08022319390520000100096207232  1 300008010201012                                                                                                                                                                      0102010703010102040305000204020102030202990202020203030401020203020102990503640402021069999990399990899999999999999999999999999999999999999990201
700344唯一合格女  042 999999902    080223194010195257000200056    2 300580010201011                                                                                                                                                                      0102010505050203020310000204010201040201020202020202040301010498040101990202330402029012069991999999999999999999999999999999999999908999999990201
700348最年輕的男  042 999999902    08022319402019495700096252012  2 300400010504052                                                                                                                                                                      0002010105060303010305050202020503040101980102010101030204010401040202990101710602028019999990699999999990199999999999999999999999999999999990101
700349最年輕的女   03 999999902    080223213407215436000200081    1 300378010201012                                                                                                                                                                      0002010202040303020203020402020496010201020202020201030201010302020102990201730601031059999991599999999999999999999999999990599999999999999990201
700354唯一合格男    2 999999902    08022319403819525300096207330  2 300035010101011                                                                                                                                                                      0102010606030304010105050204020403040202990295950201020204020403020799080296720603037019999996399999999999999999999999999999999999999999904990101
700359唯一合格男   07 999999902    08022320432820564400095502030  2 300146010201012                                                                                                                                                                      0002020010050202020200000303020202040298990101960203030303020302980799080701480402024019999996499999999999999999999999999999999999999999999010101
700360唯一合格女    2 999999902    08022319410419572900096207339  1 200166010302011                                                                                                                                                                      0002020505060203020307050204020503030201020202920201030404020402030102990402460402024019999990101999999999999999999999999999999999999999999990204
700363最年輕的女   03 999999902    08022322110822224100096207313  1 300016010301031                                                                                                                                                                      0002010505050102020307050302019802950201980298020201980296020302040102990502600402023029999990399990699999999999999999999999999999999999999990201
700369最年輕的女  042 999999902    080223194143200051000200151    2 200043010301032                                                                                                                                                                      0002019797059595979705980203020103049201020298029201020203020302040799080602580502029013029990699999999991699999999999999999999999999999999990201
700373唯一合格男   03 999999902    08022319415319555500094501047  2 300067010201011                                                                                                                                                                      0002959805059595959506050104020196030201029102020202030303010402030102990602520401013019999990599999999019999999999999999999999999999999999990101
700386唯一合格男   05 999999902    08022319424320004800096207318  2 300040010201011                                                                                                                                                                      0002980506050303010104030103020403030101020201980203030303030302030202990501640402025019999991099999999999999999912999999999999999999999999990101
700415最年輕的女   07 999999902    080223194424195823000200108    2 300059010604061                                                                                                                                                                      0202010303010104040110000201020801030298990202020201040404010303010799080402570402026029999991299999999999999999999991299999999999999999999990204
700506最年輕的男   05 999999902    08022319473519583900096207322  2 300016010603061                                                                                                                                                                      0102020008050204020303050202020202039801020201020104010303010402030799080401690602021049999991099999999999999999905999999999999999999999999990101
700516唯一合格女   04 999999902    08022319475720061000096252023  1 300062010403011                                                                                                                                                                      0002020001020304010105050203020502030101010101010104029803020303020201990101440402039014019990799999999999901999999999999999999999999999999990202
700518最年輕的女    2 999999902    08022319480120020600095502032  2 200060010402041                                                                                                                                                                      0202960403050304010300000201960503020201980202980201020301020296030799080501590603013029999990106999999999999999999999999999999999999999999990201
700527唯一合格女   04 999999902    080224194231195722000200151    2 200043010302011                                                                                                                                                                      0002010704010198980496000204029898040201020202020201049696010196040101990201290302025019999990799999999999995999999999999999999999999999999990201
700557最年長的男  049 999999902    08022321450621560200090202022  1 300306010602012                                                                                                                                                                      0002970000040404010105950101010503040101010101010101040102020202040201990101520402021059999990899999999999999079999999999999999999999999999990101
700560唯一合格男   07 999999902    080223194952201819000200081    1 300378010201011                                                                                                                                                                      0201010606050101010396030203020102049801980202020201040401010101040699080503160103039069998011299999999999999999999990899999999999999999999990101
700561最年長的男    2 999999902    080223194952200305000100020    1 200375010402012                                                                                                                                                                      0002010507030104020406000204020701040201020202020201040401010404049799089702480301011069999990104999999999999999999999999999999999999999999990102
700562唯一合格女   05 999999902    08022522190422381300092205030  2 300082010302012                                                                                                                                                                      0002019898060195020398050404020703040298999802029896040403010496040302999802550302029026029991099999999999999999907999999999999999999999999990201
700572唯一合格男   05 999999902    08022320074420135400096207342  2 300020010101011                                                                                                                                                                      0002980002020404010100980101980198980101010101010104980198989898980202999801210202023029999990999999999999999999599999999999999999999999999990102
700588最年輕的男    2 999999902    08022319510720050900094507026  2 200216010403041                                                                                                                                                                      0002010505050203020310030304010502049202990298010203970396010403040799080502750602027019999990499999902999999999999999999999999999999999999990101
