880002最年輕的女  999 999999913    11022720182220274700096103054  2 300018030301032                                                                                                                                                                      00020202020297060505020303020604020202030802010201010304040103020303010299026506013019999990399109999999999999999999999999999999999990201
880009唯一合格女  999 999999913    11022720154320293500099601127  2 300022030201011                                                                                                                                                                      13020102020201050506020302030705020402040702010101010402020202010304010299025307032069999996599999999999999999999999999999999991799990201
880011最年輕的男  999 999999913    110227201551202649000200056    2 11424030302031                                                                                                                                                                       00020202020202979706979702979797979798979795979798989798989898989897989997984604026029999990999999999999915999999999999999999999999990101
880034唯一合格女  999 999999913    110227201815203003000100034    2 300058030201011                                                                                                                                                                      01010101010201050506040401010305020402040502010101010302020304010404010199024504011069999996399999999999999999999999999999907999999990201
880039唯一合格男  999 999999913    11022720183620314700097260008  2 300064030101011                                                                                                                                                                      00020202020202030305020202030303020302030598010192010303010204020402079908015906013029999990599999901999999999999999999999999999999990101
880053唯一合格男  999 999999913    110227201959202927000200151    2 100666030201011                                                                                                                                                                      02010201010101050605010201040601020402040102010101010304040103020404020299025407021049999991899999999999999999999999999019999999999990101
880061最年輕的女  999 999999913    11022720213820302900097259006  2 100174030402041                                                                                                                                                                      00010102010201050205020303020705020302030501010201010304040102020302010299017307012079999996399999999999999999999999999999909999999990201
880075唯一合格女  999 999999913    11022720231120325100098203003  2 200043030201012                                                                                                                                                                      00020202020202050504030303030505020302030301020202020303040303020303020299016405022049999990208999999999999999999999999999999999999990201
880077最年長的男  999 999999913    110227202335203709000200222    2 100339030403012                                                                                                                                                                      00020202020201030606010102020501020102040302010101010304020201010404040199025004021059999990799999999079999999999999999999999999999990104
880090最年輕的男  999 999999913    110227220039221647000200170    2 100666030201012                                                                                                                                                                      00020202020298050006030303031005010302030398920292019801980303020303040299027004016029999999599999999999999999999999999999999999999990101
880123唯一合格女  999 999999913    110227202905204143000200097    2 100314030201011                                                                                                                                                                      00020202020202080806019502020505020202040102010101010304040302010304010299026806023019999990211999999999999999999999999999999999999990201
880151最年輕的女  999 999999913    11022720314920450200096303066  1 300032030503051                                                                                                                                                                      00020202020298989805030302029898029801020395989898989898989898989898079908016904029011069991399999999999999990399999999999999999999990201
880181唯一合格男  999 999999913    110227203403204256000200170    2 100666030201011                                                                                                                                                                      00020202020201050803010103041000020402040702010101010404010196020303030299034804036019999996599999999999999999999999999999999990999990101
880211唯一合格女  999 999999913    11022722051622280700099202045  2 300021030303031                                                                                                                                                                      01020202020202050506020302989696020302030398019891910398010303020397979908014303026029999996799999999999999999999999999999999999999950204
880227唯一合格女  999 999999913    11022720380420454500097260008  2 300064030201011                                                                                                                                                                      00020202020202060405020402020704020402040501020101010204010103020303010299026605012049999996599999999999999999999999999999999990199990201
880234唯一合格男  999 999999913    110227214906220012000200081    1 11266030301012                                                                                                                                                                       11020202020201070806010103030700020302040002010101010401980301010104010199023105039069993016599999999999999999999999999999999990499990101
880241最年輕的男  999 999999913    11022720395120485500098252015  2 300098030403042                                                                                                                                                                      01020202020202050305030401010400020102030002010101020298020304020302010299015404021069999996799999999999999999999999999999999999999010101
880247唯一合格男  999 999999913    11022720402220583200099202045  2 300021030201012                                                                                                                                                                      11020202020202050404020402010008020202030598979702020196040296020498969904010404026029999990399019999999999999999999999999999999999990101
880254最年輕的女  999 999999913    11022720411420543000098303080  2 300057030301031                                                                                                                                                                      00020201020201060605020302020404020201030402010101010303020303010303010299027707027019999996699999999999999999999999999999999999907990201
880267唯一合格男  999 999999913    11022720423621122300097207429  2 300040030201011                                                                                                                                                                      00010102010201980506979796020000019702040002010101019798040102010304040299973502021059999996599999999999999999999999999999999991699990101
880290唯一合格男  999 999999913    11022720451620582100096103054  2 300018030201011                                                                                                                                                                      00020202020201060605010303030500020402040791019292920304010102010303079908025605014019999996699999999999999999999999999999999999919990101
880301唯一合格男  999 999999913    110227204608205852000100035    2 300034030201011                                                                                                                                                                      10020202020202060304020401010407020102010295019501980104050103020303020199016306026029999996399999999999999999999999999999902999999990101
880309最年輕的女  999 999999913    11022721314421475100096303066  1 300032030301031                                                                                                                                                                      00020202020202080005020302020804020202020798010201980103020302020304079904016706983029999996499999999999999999999999999999999199999990201
880338最年長的女  999 999999913    11022720502921033800097259006  2 100174030200012                                                                                                                                                                      02010201010202060103020302020005010202030502920101010303020303010403079908026004023029999990399089999999999999999999999999999999999990201
880349最年輕的男  999 999999913    11022720521621070000096303066  1 300032030402041                                                                                                                                                                      01020202020201040603010402040703010302030602010201020303960104020302020299036406023029999990399029999999999999999999999999999999999990101
880359最年輕的男  999 999999913    110227205359210427000200097    2 100314030402041                                                                                                                                                                      00020202020201030803010104040700020402040302010101010303080101010303030299027206022149999990399079999999999999999999999999999999999990101
