690404唯一合格男  999 473307801    040501191314192313000100008    1 100136010301011                                                                                                                                                                      0002980101060104030302030303010402020304005020210102030598020201990302520103602039999129999999999999999999999999999999999999999020101
690409唯一合格男  999 797340001    04050119134019252200089305108  1 1112.5010201012                                                                                                                                                                      0201030101050103020401030404010402049704005020110203030301010402990502540304105639999999999999999999999999999999999999999991099100101
690418唯一合格男  999 201372201    04050119144819312600092302043  1 1091.5010201012                                                                                                                                                                      0102010101050204010301030404040101050303004010110101020104020202990401470205106010599999999999999999999999999999999999999999999080101
690421最年長的男  999 472317201    04050119150819355700090101108  2 1127.5010503012                                                                                                                                                                      0302989898050198019696980303010397010104005030219503020402039599089796290101906039999049999999999999999999999999999999999999999980101
690422唯一合格男  999 993307201    04050119150919274700092203041  2 200040010301011                                                                                                                                                                      0002039802050103969702969698960298970303005030210297039804020401990201460203302169999999999999999999999999999990399999999999999030101
690428最年輕的男  999 522363401    04050119162519370200090205106  1 3016.5010707071                                                                                                                                                                      1101019802020404010101010304049797970196005010110201960204010201990401450206105069999999999019999999999999999999999999999999999100104
690441最年長的男  999 251306601    04050120231220435900092203041  2 200040010402012                                                                                                                                                                      0002969897019603020201019696029602010203097020210102029803020502999701180202501109999999999999999991899999999999999999999999999980102
690442最年輕的男  999 768316501    04050121480721580100092401072  1 3012.5010604061                                                                                                                                                                      0001030201030204020201030496040202050302005020210102030204019599040301520104401079999999999990799999999999999999999999999999999040101
690480最年長的女  999 925311501    04050119221919580000090304041  2 1287.5010502012                                                                                                                                                                      0602010201020404020203030404040201010302007020110102030204010202990401420203906010499999999999999999999999999999999999999999999020201
690531唯一合格男  999 379427901    04050119264219425600091101070  1 1286.5010201011                                                                                                                                                                      0002969801020404010101019696049898010297008020210103030304010202991001170202906109999999999999999990299999999999999999999999999980102
690561唯一合格男  999 434406701    04050119290519413500092306073  1 1099.3010201011                                                                                                                                                                      0702020101030104040403040303040102010204005020210204040402010401990502530304301179999999999999999999999999999999906999999999999050101
690584唯一合格男  999 831455901    04050121275721450000091601145  2 1063.5010201011                                                                                                                                                                      0101030102060104010101040201010402050304005030319505030501010699030502530204104079999999999991099999999999999999999999999999999020101
690587唯一合格女  999 201402701    04050119312919555000092302043  1 1091.5010201011                                                                                                                                                                      0002019702050196010198040303049801980302000030310205050501040402990202530303905010599999999999999999999999999999999999999999999020201
690595最年輕的男  999 221415501    04050119322219443300089305108  1 1112.5010202021                                                                                                                                                                      0002020202040304980201030404040201050303005020210103030303010202990302610204106010499999999999999999999999999999999999999999999090101
690598唯一合格女  999 209435401    040501193243194304000200018    2 1068.5010201012                                                                                                                                                                      0402010101060304010203030496040402010104005020319503030398020202990402530104302011699999999999999999999999999999999999999999999080201
690600唯一合格男  999 292475301    04050119325719525400092260019  1 1108.5010201011                                                                                                                                                                      0101020101060104040401040302010402010204005039829903030497010102999603500206104011599999999999999999999999999999999999999999999070101
690616唯一合格女  999 346512301    04050119345420032600092203006  2 1108.5010201011                                                                                                                                                                      0002039801060197979701040403010402080204000030210198980301040202990503460206301639999999999999999999999999999999999999999990299090201
690620唯一合格男  999 577549001    04050119353119532800091601145  2 1063.5010201011                                                                                                                                                                      0102010201069595010101030101950202010101000020119505050501010799080502460306102189999999999999999999999999999999999019999999999100101
690625最年輕的女  999 622558901    04050119361219504700090101108  2 1127.5010301032                                                                                                                                                                      0002969898050204029696969696039602960204005039810196960403039699089702500203501099999999999999999039999999999999999999999999999010201
690628最年輕的男  999 711568701    04050119444019483500092601226  1 100103010402041                                                                                                                                                                      0002010201050104010302040402040202040304007020210203040301020402990302650203214079999999999990199999999999999999999999999999999090101
690632唯一合格男  999 912532101    040501193719194957000100008    1 100136010201012                                                                                                                                                                      1196040101050102010301040401040302969604098029819504040496010102990502390307104010699999999999999999999999999999999999999999999950101
690643唯一合格女  999 936553801    04050119402319510700090202045  1 1346.5010403011                                                                                                                                                                      0202039802069804010101020404040202980304005020210103030303020201990401430203106029901999999999999999999999999999999999999999999090201
690653唯一合格女  999 641537301    040501194148195953000100010    2 100333010201012                                                                                                                                                                      0002989898980298020298989898030298989898098030110203030303030102999801430202901129999999999999999999999029999999999999999999999980202
690656唯一合格女  999 582581601    04050119420219543400090202009  1 1187.5010403011                                                                                                                                                                      0502020201050104010301040302010402020204005030310205050501010302990202400206903049999990299999999999999999999999999999999999999050201
690658唯一合格男  999 673516901    04050119420920025200092306073  1 1099.3010501011                                                                                                                                                                      0002960103060204010102030404040101010304008030110102030304020201990401450204905010999999999999999999999999999999999999999999999010101
690691唯一合格女  999 795520601    040501194838195717000200018    2 1068.5010302011                                                                                                                                                                      0202010102050204020302040404040102020304004020219503040301010799080502570206105639999999999999999999999999999999999999999991099090201
690695唯一合格男  999 380530101    04050119491620001600090402030  2 1185.5010101011                                                                                                                                                                      0002989898979898989696989898989898979798005010119502989804020202999801390201401109999999999999999990899999999999999999999999999030104
690697唯一合格男  999 632645001    04050119491920101600091507022  1 1096.5010201011                                                                                                                                                                      0102960101050101960402040302969602010104005039610205969601020101990502190303906119999999999999999999901999999999999999999999999030101
690702最年長的男  999 766669701    04050119501819560800092601226  1 100103010402012                                                                                                                                                                      0102989898989898989898989898989898989602003020329903030398020799080702459505401639999999999999999999999999999999999999999990299950101
690707唯一合格男  999 275619301    040501195058200031000100008    1 100136010301011                                                                                                                                                                      0002040202050204010402020302040402020304005020210103030302010101990202700304905010199999999999999999999999999999999999999999999020101
690715唯一合格男  999 794630501    04050119521020182800089205065  2 1111.5010201012                                                                                                                                                                      0002030101049604960301960403040402050204010020210203030403020799089701530204905119999999999999999999915999999999999999999999999020104
690726最年輕的女  999 406674301    04050121464122031700091601145  2 1063.5010201011                                                                                                                                                                      0002980101060203020202030302030298960104005020219503030298039599089502710205302069999999999209999999999999999999999999999999999980201
690734唯一合格男  999 910698101    04050119552320073000089208044  2 1080.5010301011                                                                                                                                                                      0102020101050103010403040201010402020204007020210205050403010101990201480305104010699999999999999999999999999999999999999999999090101
